data/text/text_3.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
	text	 weighs			text_start				20キロを　こえています!		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	over 44 pounds!			line	體重超過２０公斤！								…　シルフ　カンパニー
	prompt				prompt							……西尔佛公司	……シルフカンパニー	
														
_ColosseumEvolvedText::				_ColosseumEvolvedText::										
	text_ram	wcd6d			text_ram	wcd6d			は　しんかした		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 is an			text	已經是			ポケモンです!		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	evolved #MON!			line	進化後的寶可夢！								…　シルフ　カンパニー
	prompt				prompt							……西尔佛公司	……シルフカンパニー	
														
_ColosseumIneligibleText::				_ColosseumIneligibleText::										
	text	Your opponent is			text	對手的寶可夢			たいせんあいての　ポケモンが		Your opponent’s weak!	对手变弱了！	あいてが　よわっている！	あいてが　よわっている!
	line	ineligible.			line	好像不符合規則。			ルールいはんの　ようです		Get ’em, [VAR PKNICK(0000)]!	机会来了！[VAR PKNICK(0000)]！	チャンスだ！　[VAR PKNICK(0000)]！	チャンスだ!　@ゲ
	prompt				prompt									
														
_ColosseumWhereToText::				_ColosseumWhereToText::										
	text	Where would you			text	要去哪裡？		text	要去哪里？	Where would you	Where would you like to go?	要去哪里？	どこへ　いきますか？	なんかいへ　いきますか?
	line	like to go?			done			done		like to go?				へどぶ
	done													
														
_ColosseumPleaseWaitText::				_ColosseumPleaseWaitText::										
	text	OK, please wait			text	好的，		text	好的，	OK, please wait	The authentication server is busy.	认证服务器正忙。	認証サーバーが混み合っています。	トレーナーぞ
	line	just a moment.			line	請您稍等。		line	请您稍等。	just a moment.	Please wait a little while, and then try again.	请过一段时间后再试一次。	しばらく時間をおいてから	きド5ま
	done				done			done					もう一度お試しください。	
														
_ColosseumCanceledText::				_ColosseumCanceledText::										
	text	The link was			text	連線已取消。		text	连接已取消。	The link was	The battle was canceled.	有一方选择了投降。	こうさんが　えらばれました	トレーナーぞ
	line	canceled.			done			done		canceled.				きド5ま
	done													
														
_ColosseumVersionText::				_ColosseumVersionText::										
	text	The game versions			text	雙方的遊戲版本			あいての　バージョンが		There are Pokémon magazines on the shelves.	这里陈列着宝可梦的杂志！	ポケモンざっしが　ならんでる！	　ぽ　ぽ　
	line	don't match.			line	不一致。			ちがうようです					
	prompt				prompt						And Pokémon notebooks...	……宝可梦手册	……ポケモンてちょう	
														
_TextIDErrorText::				_TextIDErrorText::							And Pokémon graphs, too!	……宝可梦图表	……ポケモングラフ	
	text_decimal	hSpriteIndexOrTextID, 1, 2 			text_decimal	hSpriteIndexOrTextID, 1, 2 					“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text	 error.			text	 出錯。					2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done									
														
_ContCharText::				_ContCharText::										
	text｜<_CONT>@｜				"text ""<_CONT>@"""						Trainers’ School:	这里是训练家学校。	ここは　トレーナーズスクール	ここは　ポケモン　りーグ
	text_end				text_end						Get Schooled in School!	好好学习，天天向上！	まなびや　で　まなべや！	しょうめん　ゲート
														4ャよひ
_NoPokemonText::				_NoPokemonText::										つ {PLAYER}  {PLAYER} 
	text	There are no			text	這裡沒有寶可夢！			ポケモンが　はいっていません!		???: There’s no use backing down now!	？？？：别说这种没志气的话！	？？？『しのごの　いわない！	の　わざは
	line	#MON here!							打印盒子没有宝可梦的语句		Here we go!	快开战吧！	それじゃ　いくわよ！	…　カウンター!　だよ!
	prompt				prompt									それじゃ　がんばってね!
end				end										
